DataSetName,DataPointSize,AreaLength,SchemeName,PostProcessTime,GridUnitSize,DataTypeSize,SizeD,SizeB,PrivacyBudget,ContributionK,WassersteinDistance1,WassersteinDistance2,KLDivergence
TwoDimNormal,231114,9.45,disk,33804,0.63,225,15,1,3.5,0.25,0.0,1.1993527412356455,0.0
TwoDimNormal,231114,9.45,disk,32273,0.63,225,15,2,3.5,0.25,0.0,1.0258995826815887,0.0
TwoDimNormal,231114,9.45,disk,33060,0.63,225,15,3,3.5,0.25,0.0,1.0673462621898258,0.0
TwoDimNormal,231114,9.45,disk,26408,0.63,225,15,4,3.5,0.25,0.0,1.1565574449880505,0.0
TwoDimNormal,231114,9.45,disk,25404,0.63,225,15,5,3.5,0.25,0.0,1.2565924772648118,0.0
