DataSetName,DataPointSize,AreaLength,SchemeName,PostProcessTime,GridUnitSize,DataTypeSize,SizeD,SizeB,PrivacyBudget,ContributionK,WassersteinDistance1,WassersteinDistance2,KLDivergence
Chicago,101146,0.36,disk,11,0.36,1,1,0,3.5,0.0,0.0,0.0,0.0
Chicago,101146,0.36,disk,15,0.18,4,2,0,3.5,0.0,0.0,0.10579816092693328,1.5409198850446174E-6
Chicago,101146,0.36,disk,20,0.12,9,3,0,3.5,0.0,0.0,0.1298055508930555,7.038756555463013E-5
Chicago,101146,0.36,disk,87,0.09,16,4,0,3.5,0.0,0.0,0.14559128619330725,0.0023801524351498397
Chicago,101146,0.36,disk,558,0.072,25,5,1,3.5,0.0,0.0,0.18991536331443876,0.005711324269939894
Chicago,101146,0.36,mdsw,10,0.36,1,1,0,3.5,-1,0.0,0.0,0.0
Chicago,101146,0.36,mdsw,12,0.18,4,2,0,3.5,-1,0.0,0.4442926291450245,0.0
Chicago,101146,0.36,mdsw,12,0.12,9,3,0,3.5,-1,0.0,0.5685536510283863,0.0
Chicago,101146,0.36,mdsw,12,0.09,16,4,0,3.5,-1,0.0,0.6869177566810208,0.0
Chicago,101146,0.36,mdsw,14,0.072,25,5,0,3.5,-1,0.0,0.7566264984986537,0.0
Chicago,101146,0.36,hue,11,0.36,1,1,0,3.5,0.0,0.0,0.0,0.0
Chicago,101146,0.36,hue,15,0.18,4,2,0,3.5,0.0,0.0,0.10579816092693328,1.5409198850446174E-6
Chicago,101146,0.36,hue,20,0.12,9,3,0,3.5,0.0,0.0,0.1298055508930555,7.038756555463013E-5
Chicago,101146,0.36,hue,87,0.09,16,4,0,3.5,0.0,0.0,0.14559128619330725,0.0023801524351498397
Chicago,101146,0.36,hue,1467,0.072,25,5,1,3.5,0.0,0.0,0.3397469309178029,0.0
Chicago,101146,0.36,diskNonShrink,11,0.36,1,1,0,3.5,0.0,0.0,0.0,0.0
Chicago,101146,0.36,diskNonShrink,14,0.18,4,2,0,3.5,0.0,0.0,0.10700974811462881,0.0
Chicago,101146,0.36,diskNonShrink,26,0.12,9,3,0,3.5,0.0,0.0,0.12901956448206758,0.0
Chicago,101146,0.36,diskNonShrink,62,0.09,16,4,0,3.5,0.0,0.0,0.14108038602812145,0.0
Chicago,101146,0.36,diskNonShrink,398,0.072,25,5,1,3.5,0.0,0.0,0.17854225476064742,0.0
Chicago,101146,0.36,subsetGeoITwoNorm,0,0.36,1,1,-1,5.15,-1,0.0,0.0,0.0
Chicago,101146,0.36,subsetGeoITwoNorm,34,0.18,4,2,-1,3.1316079610346197,-1,0.0,0.10635179229730982,0.0
Chicago,101146,0.36,subsetGeoITwoNorm,36,0.12,9,3,-1,2.5410487018532804,-1,0.0,0.13753050082127505,0.0
Chicago,101146,0.36,subsetGeoITwoNorm,33,0.09,16,4,-1,1.867732929634903,-1,0.0,0.15366580751599362,0.0
Chicago,101146,0.36,subsetGeoITwoNorm,33,0.072,25,5,-1,1.5281289999079308,-1,0.0,0.18120854260748587,0.0
