DataSetName,DataPointSize,AreaLength,SchemeName,PostProcessTime,GridUnitSize,DataTypeSize,SizeD,SizeB,PrivacyBudget,ContributionK,WassersteinDistance1,WassersteinDistance2,KLDivergence
Chicago,101146,0.36,disk,11,0.36,1,1,0,3.5,0.0,0.0,0.0,0.0
Chicago,101146,0.36,disk,14,0.18,4,2,0,3.5,0.0,0.0,0.10606886178740213,3.164223139265473E-6
Chicago,101146,0.36,disk,24,0.12,9,3,0,3.5,0.0,0.0,0.13111189711168053,1.901658438500499E-4
Chicago,101146,0.36,disk,49,0.09,16,4,0,3.5,0.0,0.0,0.14683033609909765,0.001789785055280434
Chicago,101146,0.36,disk,427,0.072,25,5,1,3.5,0.0,0.0,0.1753488708698026,0.002962235111417636
Chicago,101146,0.36,mdsw,10,0.36,1,1,0,3.5,-1,0.0,0.0,0.0
Chicago,101146,0.36,mdsw,12,0.18,4,2,0,3.5,-1,0.0,0.44478218168588746,0.0
Chicago,101146,0.36,mdsw,12,0.12,9,3,0,3.5,-1,0.0,0.5709990553926084,0.0
Chicago,101146,0.36,mdsw,13,0.09,16,4,0,3.5,-1,0.0,0.6855426277973296,0.0
Chicago,101146,0.36,mdsw,14,0.072,25,5,0,3.5,-1,0.0,0.7532129783535648,0.0
Chicago,101146,0.36,hue,11,0.36,1,1,0,3.5,0.0,0.0,0.0,0.0
Chicago,101146,0.36,hue,14,0.18,4,2,0,3.5,0.0,0.0,0.10606886178740213,3.164223139265473E-6
Chicago,101146,0.36,hue,24,0.12,9,3,0,3.5,0.0,0.0,0.13111189711168053,1.901658438500499E-4
Chicago,101146,0.36,hue,49,0.09,16,4,0,3.5,0.0,0.0,0.14683033609909765,0.001789785055280434
Chicago,101146,0.36,hue,886,0.072,25,5,1,3.5,0.0,0.0,0.35911616814178043,0.0
Chicago,101146,0.36,diskNonShrink,11,0.36,1,1,0,3.5,0.0,0.0,0.0,0.0
Chicago,101146,0.36,diskNonShrink,14,0.18,4,2,0,3.5,0.0,0.0,0.10622135223353268,0.0
Chicago,101146,0.36,diskNonShrink,24,0.12,9,3,0,3.5,0.0,0.0,0.13009811953347017,0.0
Chicago,101146,0.36,diskNonShrink,54,0.09,16,4,0,3.5,0.0,0.0,0.14501233427125232,0.0
Chicago,101146,0.36,diskNonShrink,232,0.072,25,5,1,3.5,0.0,0.0,0.19772130470656304,0.0
Chicago,101146,0.36,subsetGeoITwoNorm,0,0.36,1,1,-1,5.15,-1,0.0,0.0,0.0
Chicago,101146,0.36,subsetGeoITwoNorm,40,0.18,4,2,-1,3.1316079610346197,-1,0.0,0.10595092763139914,0.0
Chicago,101146,0.36,subsetGeoITwoNorm,36,0.12,9,3,-1,2.5410487018532804,-1,0.0,0.1359529363152322,0.0
Chicago,101146,0.36,subsetGeoITwoNorm,31,0.09,16,4,-1,1.867732929634903,-1,0.0,0.15300572379776256,0.0
Chicago,101146,0.36,subsetGeoITwoNorm,32,0.072,25,5,-1,1.5281289999079308,-1,0.0,0.19864470553989017,0.0
