DataSetName,DataPointSize,AreaLength,SchemeName,PostProcessTime,GridUnitSize,DataTypeSize,SizeD,SizeB,PrivacyBudget,ContributionK,WassersteinDistance1,WassersteinDistance2,KLDivergence
TwoDimMultiCenterNormal,266110,10.76,disk,28,10.76,1,1,0,3.5,0.0,0.0,0.0,0.0
TwoDimMultiCenterNormal,266110,10.76,disk,35,5.38,4,2,0,3.5,0.0,0.0,0.11447394817022383,1.2986714864588302E-6
TwoDimMultiCenterNormal,266110,10.76,disk,52,3.5866666666666664,9,3,0,3.5,0.0,0.0,0.11288818165614274,2.2652744263755044E-4
TwoDimMultiCenterNormal,266110,10.76,disk,111,2.69,16,4,0,3.5,0.0,0.0,0.12902483172429763,9.584472210274653E-4
TwoDimMultiCenterNormal,266110,10.76,disk,1006,2.152,25,5,1,3.5,0.0,0.0,0.15274151560517546,0.001966314460823898
TwoDimMultiCenterNormal,266110,10.76,mdsw,26,10.76,1,1,0,3.5,-1,0.0,0.0,0.0
TwoDimMultiCenterNormal,266110,10.76,mdsw,31,5.38,4,2,0,3.5,-1,0.0,0.31626387334174405,0.0
TwoDimMultiCenterNormal,266110,10.76,mdsw,30,3.5866666666666664,9,3,0,3.5,-1,0.0,0.9067842881640727,0.0
TwoDimMultiCenterNormal,266110,10.76,mdsw,30,2.69,16,4,0,3.5,-1,0.0,0.811417940878749,0.0
TwoDimMultiCenterNormal,266110,10.76,mdsw,34,2.152,25,5,0,3.5,-1,0.0,0.8446266635542151,0.0
TwoDimMultiCenterNormal,266110,10.76,hue,28,10.76,1,1,0,3.5,0.0,0.0,0.0,0.0
TwoDimMultiCenterNormal,266110,10.76,hue,35,5.38,4,2,0,3.5,0.0,0.0,0.11447394817022383,1.2986714864588302E-6
TwoDimMultiCenterNormal,266110,10.76,hue,52,3.5866666666666664,9,3,0,3.5,0.0,0.0,0.11288818165614274,2.2652744263755044E-4
TwoDimMultiCenterNormal,266110,10.76,hue,111,2.69,16,4,0,3.5,0.0,0.0,0.12902483172429763,9.584472210274653E-4
TwoDimMultiCenterNormal,266110,10.76,hue,1324,2.152,25,5,1,3.5,0.0,0.0,0.2483466117192933,0.0
TwoDimMultiCenterNormal,266110,10.76,diskNonShrink,28,10.76,1,1,0,3.5,0.0,0.0,0.0,0.0
TwoDimMultiCenterNormal,266110,10.76,diskNonShrink,36,5.38,4,2,0,3.5,0.0,0.0,0.11463526165468693,0.0
TwoDimMultiCenterNormal,266110,10.76,diskNonShrink,47,3.5866666666666664,9,3,0,3.5,0.0,0.0,0.11512509039895777,0.0
TwoDimMultiCenterNormal,266110,10.76,diskNonShrink,94,2.69,16,4,0,3.5,0.0,0.0,0.12873002963016072,0.0
TwoDimMultiCenterNormal,266110,10.76,diskNonShrink,947,2.152,25,5,1,3.5,0.0,0.0,0.1533395261647059,0.0
TwoDimMultiCenterNormal,266110,10.76,subsetGeoITwoNorm,0,10.76,1,1,-1,5.15,-1,0.0,0.0,0.0
TwoDimMultiCenterNormal,266110,10.76,subsetGeoITwoNorm,103,5.38,4,2,-1,3.1316079610346197,-1,0.0,0.1146805020661406,0.0
TwoDimMultiCenterNormal,266110,10.76,subsetGeoITwoNorm,100,3.5866666666666664,9,3,-1,2.5410487018532804,-1,0.0,0.11340205491091743,0.0
TwoDimMultiCenterNormal,266110,10.76,subsetGeoITwoNorm,94,2.69,16,4,-1,1.867732929634903,-1,0.0,0.13937272508260087,0.0
TwoDimMultiCenterNormal,266110,10.76,subsetGeoITwoNorm,90,2.152,25,5,-1,1.5281289999079308,-1,0.0,0.16675405785881248,0.0
